Wavelength	Flux	BestFit	SkyFlux
4360.136	8.115	7.565	63.092
4361.140	8.997	7.395	53.186
4362.144	3.828	7.428	46.146
4363.149	7.748	7.445	43.148
4364.153	8.277	7.407	41.482
4365.158	7.006	7.396	41.163
4366.164	5.538	7.392	41.615
4367.169	7.707	7.329	40.333
4368.175	7.208	7.310	39.091
4369.181	5.753	7.298	37.512
4370.187	10.470	7.361	37.227
4371.193	9.921	7.535	37.353
4372.200	6.904	7.815	37.414
4373.207	7.211	8.124	37.709
4374.214	7.736	8.328	36.454
4375.221	9.180	8.643	34.820
4376.229	11.144	8.947	33.976
4377.236	9.876	9.234	34.545
4378.244	9.458	9.440	36.418
4379.253	9.809	9.463	37.251
4380.261	6.841	9.436	37.871
4381.270	6.894	9.296	37.293
4382.279	10.901	9.060	36.047
4383.288	9.272	8.808	33.159
4384.297	6.936	8.564	27.801
4385.307	8.716	8.341	25.303
4386.317	7.189	8.290	28.942
4387.327	4.914	8.390	33.337
4388.337	8.660	8.624	34.174
4389.348	10.088	8.877	34.309
4390.359	10.758	9.049	34.446
4391.370	8.276	9.134	34.896
4392.381	7.984	9.199	35.431
4393.392	8.622	9.191	35.666
4394.404	8.754	9.219	35.722
4395.416	9.128	9.185	34.571
4396.428	7.595	8.984	34.138
4397.441	8.706	8.686	36.031
4398.453	7.335	8.523	37.932
4399.466	5.514	8.520	37.562
4400.479	7.712	8.751	35.780
4401.493	8.119	8.970	34.584
4402.506	5.937	8.904	35.109
4403.520	8.047	8.608	36.166
4404.534	6.032	8.551	35.775
4405.549	4.076	8.625	33.517
4406.563	7.255	8.803	32.566
4407.578	9.692	8.979	34.114
4408.593	8.577	9.075	35.715
4409.608	8.931	9.095	35.987
4410.624	11.311	9.058	36.588
4411.639	8.820	8.986	38.781
4412.655	5.550	8.831	40.618
4413.671	8.051	8.743	41.294
4414.688	10.408	8.800	39.099
4415.704	6.891	8.922	35.763
4416.721	10.362	9.038	34.610
4417.738	14.072	9.167	35.435
4418.756	11.388	9.234	37.476
4419.773	8.009	9.254	39.458
4420.791	7.770	9.304	40.708
4421.809	8.575	9.412	40.555
4422.827	9.954	9.483	37.987
4423.846	8.558	9.568	37.112
4424.865	11.160	9.638	37.015
4425.884	13.624	9.675	36.798
4426.903	10.406	9.648	37.261
4427.922	9.600	9.547	37.532
4428.942	11.544	9.454	38.227
4429.962	11.496	9.348	38.219
4430.982	7.587	9.269	37.754
4432.003	8.891	9.230	37.035
4433.023	10.811	9.206	36.926
4434.044	8.653	9.142	36.843
4435.065	8.409	9.002	35.409
4436.086	9.403	8.938	33.924
4437.108	7.532	8.985	33.669
4438.130	10.649	9.077	37.163
4439.152	9.703	9.124	39.735
4440.174	9.114	9.096	39.687
4441.197	9.351	9.069	39.373
4442.219	6.685	8.908	37.656
4443.242	7.277	8.610	35.334
4444.266	6.938	8.333	34.796
4445.289	6.364	8.171	36.256
4446.313	6.866	8.140	38.115
4447.337	7.771	8.314	38.580
4448.361	9.890	8.471	38.017
4449.385	11.207	8.648	37.758
4450.410	8.639	8.753	37.988
4451.435	7.516	8.804	38.208
4452.460	6.856	8.916	37.914
4453.485	12.384	8.967	37.207
4454.511	9.086	9.005	36.102
4455.536	9.061	9.065	32.955
4456.562	6.651	9.121	31.916
4457.589	9.077	9.209	32.597
4458.615	11.636	9.345	33.145
4459.642	8.388	9.333	33.560
4460.669	7.826	9.335	33.315
4461.696	10.196	9.225	33.145
4462.724	9.654	9.113	32.801
4463.751	10.046	9.068	33.979
4464.779	9.365	8.989	35.944
4465.808	10.331	8.817	36.159
4466.836	5.948	8.668	36.190
4467.865	9.826	8.736	36.439
4468.893	9.530	8.859	35.798
4469.923	6.465	8.939	34.713
4470.952	6.582	9.077	34.797
4471.982	7.527	9.281	36.094
4473.011	10.291	9.442	36.962
4474.041	9.553	9.499	38.047
4475.072	7.553	9.462	38.502
4476.102	8.137	9.388	37.897
4477.133	7.888	9.333	37.789
4478.164	9.296	9.287	38.459
4479.195	8.472	9.339	39.071
4480.227	9.902	9.464	37.705
4481.259	12.682	9.570	34.896
4482.290	8.772	9.614	33.322
4483.323	10.842	9.605	33.179
4484.355	11.597	9.530	34.829
4485.388	9.809	9.458	37.088
4486.421	9.621	9.477	38.340
4487.454	10.191	9.513	38.636
4488.487	8.263	9.496	38.406
4489.521	8.130	9.457	36.764
4490.555	10.309	9.458	34.715
4491.589	9.577	9.473	35.019
4492.623	9.497	9.469	36.279
4493.658	7.992	9.432	37.940
4494.693	8.932	9.382	37.469
4495.728	9.451	9.323	35.746
4496.763	10.247	9.219	36.078
4497.799	9.442	9.263	36.610
4498.834	9.750	9.380	37.311
4499.870	11.158	9.517	37.477
4500.907	10.074	9.634	37.264
4501.943	11.254	9.686	36.947
4502.980	11.232	9.654	37.217
4504.017	9.887	9.551	38.026
4505.054	10.462	9.511	39.052
4506.091	9.819	9.565	39.690
4507.129	8.280	9.683	38.928
4508.167	8.014	9.798	38.403
4509.205	9.081	9.822	39.164
4510.244	6.809	9.913	40.444
4511.282	10.531	9.932	39.464
4512.321	9.351	9.883	39.471
4513.360	8.761	9.822	39.078
4514.400	8.373	9.739	38.092
4515.439	8.940	9.565	37.659
4516.479	8.917	9.372	37.747
4517.519	7.022	9.250	37.806
4518.559	9.777	9.156	37.653
4519.600	12.286	9.097	37.343
4520.641	9.915	9.107	38.159
4521.682	11.131	9.030	38.637
4522.723	7.669	9.018	38.208
4523.765	6.222	9.040	37.700
4524.806	9.268	9.144	35.797
4525.848	10.046	9.289	35.855
4526.891	8.575	9.361	35.220
4527.933	10.096	9.434	33.574
4528.976	9.695	9.492	32.974
4530.019	8.746	9.479	33.193
4531.062	8.506	9.476	34.079
4532.105	10.320	9.544	34.622
4533.149	11.404	9.668	35.047
4534.193	11.762	9.832	34.904
4535.237	11.003	9.932	34.366
4536.282	10.745	9.982	34.045
4537.326	13.942	10.041	35.310
4538.371	10.173	10.119	37.971
4539.416	10.757	10.162	39.623
4540.462	9.152	10.135	38.055
4541.507	10.291	10.017	36.181
4542.553	9.297	9.900	36.683
4543.599	7.042	9.762	37.670
4544.645	7.852	9.669	37.190
4545.692	8.694	9.756	36.790
4546.739	7.446	9.914	36.211
4547.786	11.151	10.034	35.275
4548.833	12.186	10.109	34.787
4549.881	11.216	10.101	34.215
4550.928	12.971	10.000	33.588
4551.976	10.299	9.877	34.360
4553.025	9.017	9.846	36.227
4554.073	11.103	9.811	36.201
4555.122	9.887	9.818	35.579
4556.171	9.472	9.823	35.418
4557.220	10.299	9.768	34.787
4558.270	9.762	9.689	36.130
4559.319	10.154	9.721	36.995
4560.369	10.258	9.858	36.738
4561.419	10.618	9.941	37.333
4562.470	11.718	10.022	37.603
4563.520	10.925	10.116	37.294
4564.571	6.148	10.155	36.400
4565.623	9.822	10.263	34.538
4566.674	15.099	10.443	34.129
4567.726	10.080	10.559	35.152
4568.777	10.609	10.570	36.557
4569.830	11.011	10.519	36.989
4570.882	11.538	10.477	36.376
4571.935	11.338	10.466	35.872
4572.987	10.841	10.388	35.543
